epoch,train_loss,validation_loss,selected_threshold,threshold_objective,threshold_objective_value,selection_metric,selection_metric_value,selection_metric_effective,selection_metric_effective_value,selection_metric_fallback_used,train_model_name,train_model_family,train_task,train_split,train_status,train_diagnostic_reason,train_degenerate_experiment,train_row_count,train_mae,train_rmse,train_r2,train_directional_accuracy,train_predicted_positive_rate,train_signal_count,train_signal_rate,train_precision_among_signaled,train_top_quantile_count,train_top_quantile_avg_return_bps,train_top_quantile_cumulative_return_bps,train_avg_signal_return_bps,train_median_signal_return_bps,train_cumulative_signal_return_bps,train_signal_hit_rate,train_signal_return_std_bps,train_signal_sharpe_like,train_pearson_corr,validation_model_name,validation_model_family,validation_task,validation_split,validation_status,validation_diagnostic_reason,validation_degenerate_experiment,validation_row_count,validation_mae,validation_rmse,validation_r2,validation_directional_accuracy,validation_predicted_positive_rate,validation_signal_count,validation_signal_rate,validation_precision_among_signaled,validation_top_quantile_count,validation_top_quantile_avg_return_bps,validation_top_quantile_cumulative_return_bps,validation_avg_signal_return_bps,validation_median_signal_return_bps,validation_cumulative_signal_return_bps,validation_signal_hit_rate,validation_signal_return_std_bps,validation_signal_sharpe_like,validation_pearson_corr
1,8.308477736042361,1.2999210311258507,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.2999210311258507,True,tcn,deep_learning,regression,train,ok,,False,30090,8.78783731994668,14.780668311437134,-4.330027919719303,0.9873047524094384,0.009704220671319375,292,0.009704220671319375,0.0,3009,-32.44620565949015,-97630.63282940585,-33.61673599344594,-33.76300833367219,-9816.086910086215,0.0,3.525672285170824,-9.5348442153401,0.0012141096332960754,tcn,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.7347016673256195,2.35597906845635,0.20472676170415716,0.9998479318734793,0.0,0,0.0,,658,-29.13030902250818,-19167.74333681038,,,,,,,0.5468232587115642
2,3.1280599277809475,1.6169947649730674,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.6169947649730674,True,tcn,deep_learning,regression,train,no_tradable_signals,signal_count == 0 for split 'train'.,True,30090,3.59375905998677,6.109429267592255,0.08936859520624363,0.9970089730807578,0.0,0,0.0,,3009,-25.187475676917913,-75789.114311846,,,,,,,0.41024954349170617,tcn,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,2.065681854654584,2.7008408958304257,-0.04513288984683572,0.9998479318734793,0.0,0,0.0,,658,-28.910837844641225,-19023.331301773927,,,,,,,0.626548692655417
3,3.0076612021210742,1.7162866290758416,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.7162866290758416,True,tcn,deep_learning,regression,train,ok,,False,30090,3.4725671009939303,5.96285427004126,0.1325394516126399,0.9970422067131938,3.323363243602526e-05,1,3.323363243602526e-05,1.0,3009,-24.89727423162822,-74915.89816296932,6.805935630339256,6.805935630339256,6.805935630339256,1.0,0.0,,0.44081642508833896,tcn,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,2.170468792866236,2.7982532662908612,-0.12188295996414733,0.9998479318734793,0.0,0,0.0,,658,-29.03086465939929,-19102.30894588473,,,,,,,0.6065130262056945
4,2.8838311431177353,1.2842296199496934,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.2842296199496934,True,tcn,deep_learning,regression,train,no_tradable_signals,signal_count == 0 for split 'train'.,True,30090,3.347170812647265,5.829829001868948,0.1708120650558025,0.9970089730807578,0.0,0,0.0,,3009,-24.44138170890815,-73544.11756210463,,,,,,,0.4675354472573855,tcn,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.7135931562748932,2.3944294784391364,0.17855665764863937,0.9998479318734793,0.0,0,0.0,,658,-29.296880880797264,-19277.3476195646,,,,,,,0.4953861006047477
5,2.741244412435175,2.0111684532351157,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,2.0111684532351157,True,tcn,deep_learning,regression,train,ok,,False,30090,3.2029371641220488,5.6708382577187235,0.2154224758077138,0.9969092721834496,0.0002991026919242273,9,0.0002991026919242273,0.3333333333333333,3009,-24.234613456277607,-72921.95188993932,-5.823777874765752,-10.544803626721517,-52.41400087289177,0.3333333333333333,18.554301947716482,-0.31387749812288124,0.4977658258669841,tcn,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,2.478927289934579,3.033278457354503,-0.3182508935029045,0.9998479318734793,0.0,0,0.0,,658,-28.968240469846666,-19061.102229159107,,,,,,,0.616060625278226
