model_name,model_family,task,split,status,diagnostic_reason,degenerate_experiment,row_count,mae,rmse,r2,directional_accuracy,predicted_positive_rate,signal_count,signal_rate,precision_among_signaled,top_quantile_count,top_quantile_avg_return_bps,top_quantile_cumulative_return_bps,avg_signal_return_bps,median_signal_return_bps,cumulative_signal_return_bps,signal_hit_rate,signal_return_std_bps,signal_sharpe_like,pearson_corr,selected_threshold,selected_threshold_objective,selected_threshold_objective_value,threshold_objective,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,prediction_mode,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,degenerate_stage,degenerate_reason,fallback_used,fallback_reason
transformer_encoder,deep_learning,regression,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.9193601895587907,1.2086938725795275,0.40791774602801,1.0,0.0,0,0.0,,883,-31.593608802736917,-27897.156572816697,,,,,,,0.6460854810538473,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.
transformer_encoder,deep_learning,regression,train,ok,,True,30090,2.3416732463537446,5.152729121557576,0.35223725602506484,0.9970422067131938,3.323363243602526e-05,1,3.323363243602526e-05,1.0,3009,-23.11281679081479,-69546.4657235617,6.805935630339256,6.805935630339256,6.805935630339256,1.0,0.0,,0.6053862686737884,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.
transformer_encoder,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.3614245070099031,1.9413906627349544,0.4599930044206012,0.9998479318734793,0.0,0,0.0,,658,-28.64567808192336,-18848.85617790557,,,,,,,0.6807726292874299,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.
