epoch,train_loss,validation_loss,selected_threshold,threshold_objective,threshold_objective_value,selection_metric,selection_metric_value,selection_metric_effective,selection_metric_effective_value,selection_metric_fallback_used,train_model_name,train_model_family,train_task,train_split,train_row_count,train_mae,train_rmse,train_r2,train_directional_accuracy,train_predicted_positive_rate,train_signal_count,train_signal_rate,train_precision_among_signaled,train_top_quantile_count,train_top_quantile_avg_return_bps,train_top_quantile_cumulative_return_bps,train_avg_signal_return_bps,train_median_signal_return_bps,train_cumulative_signal_return_bps,train_signal_hit_rate,train_signal_return_std_bps,train_signal_sharpe_like,train_pearson_corr,validation_model_name,validation_model_family,validation_task,validation_split,validation_row_count,validation_mae,validation_rmse,validation_r2,validation_directional_accuracy,validation_predicted_positive_rate,validation_signal_count,validation_signal_rate,validation_precision_among_signaled,validation_top_quantile_count,validation_top_quantile_avg_return_bps,validation_top_quantile_cumulative_return_bps,validation_avg_signal_return_bps,validation_median_signal_return_bps,validation_cumulative_signal_return_bps,validation_signal_hit_rate,validation_signal_return_std_bps,validation_signal_sharpe_like,validation_pearson_corr
1,23.489848842855384,17.63797263913491,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,17.63797263913491,True,transformer_encoder,deep_learning,regression,train,30090,23.98961700338489,24.84614437551659,-14.061192191251672,0.9943835161183118,0.0026254569624459953,79,0.0026254569624459953,0.0,3009,-32.15542477707269,-96755.67315421172,-28.379184179374022,-31.004545876841622,-2241.9555501705477,0.0,8.092914353225133,-3.5066705195100134,-0.005587447485611079,transformer_encoder,deep_learning,regression,validation,6576,18.13796250367317,18.324445986122463,-47.10998476660287,0.9998479318734793,0.0,0,0.0,,658,-32.493776393761074,-21380.90486709479,,,,,,,-0.0378944820188007
2,10.846327998195228,2.321386657492088,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,2.321386657492088,True,transformer_encoder,deep_learning,regression,train,30090,11.342296276828836,13.180926523113737,-3.2387052682288253,0.9970089730807578,0.0,0,0.0,,3009,-32.049050364014505,-96435.59254531964,,,,,,,0.006935485768460099,transformer_encoder,deep_learning,regression,validation,6576,2.7902861549545452,3.4036818322173605,-0.6598598729130247,0.9998479318734793,0.0,0,0.0,,658,-32.14953378107116,-21154.393227944824,,,,,,,0.09137650449956154
3,2.610591170731554,0.9488472536822595,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,transformer_encoder,deep_learning,regression,train,30090,3.066062197775788,5.831853207057127,0.17023615179645468,0.9970089730807578,6.646726487205052e-05,2,6.646726487205052e-05,0.5,3009,-25.527421982055078,-76812.01274400373,-2.59044121826793,-2.59044121826793,-5.18088243653586,0.5,6.853039736079449,-0.37799886153146606,0.4217088587490969,transformer_encoder,deep_learning,regression,validation,6576,1.3614245070099031,1.9413906627349544,0.4599930044206012,0.9998479318734793,0.0,0,0.0,,658,-28.64567808192336,-18848.85617790557,,,,,,,0.6807726292874299
4,2.236613394168969,0.9776481204369353,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,0.9776481204369353,True,transformer_encoder,deep_learning,regression,train,30090,2.685671464314997,5.2845738654801835,0.3186640779949499,0.997341309405118,0.0009970089730807576,30,0.0009970089730807576,0.6666666666666666,3009,-23.399160932231442,-70408.07524508442,10.353304048672015,3.785356637774669,310.59912146016046,0.6666666666666666,39.33888703579446,0.26318243419676673,0.5686115898749146,transformer_encoder,deep_learning,regression,validation,6576,1.3915895350199532,1.9826686677567091,0.4367855354943342,0.9998479318734793,0.0,0,0.0,,658,-28.665615044278873,-18861.9746991355,,,,,,,0.6665359029357477
5,2.177755988876302,1.0007233242628928,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.0007233242628928,True,transformer_encoder,deep_learning,regression,train,30090,2.6275242441695466,5.128990554308436,0.35819197957236626,0.9975074775672981,0.001030242605516783,31,0.001030242605516783,0.7419354838709677,3009,-23.21507481439185,-69854.16011650508,20.17932386396441,10.80810838056091,625.5590397828967,0.7419354838709677,43.03232187833832,0.46893411703453325,0.59947370937384,transformer_encoder,deep_learning,regression,validation,6576,1.4184544916458939,2.0011222409819798,0.42625257339167966,0.9998479318734793,0.0,0,0.0,,658,-28.69063927550096,-18878.44064327963,,,,,,,0.6793028860660753
