epoch,train_loss,validation_loss,selected_threshold,threshold_objective,threshold_objective_value,selection_metric,selection_metric_value,selection_metric_effective,selection_metric_effective_value,selection_metric_fallback_used,train_model_name,train_model_family,train_task,train_split,train_row_count,train_mae,train_rmse,train_r2,train_directional_accuracy,train_predicted_positive_rate,train_signal_count,train_signal_rate,train_precision_among_signaled,train_top_quantile_count,train_top_quantile_avg_return_bps,train_top_quantile_cumulative_return_bps,train_avg_signal_return_bps,train_median_signal_return_bps,train_cumulative_signal_return_bps,train_signal_hit_rate,train_signal_return_std_bps,train_signal_sharpe_like,train_pearson_corr,validation_model_name,validation_model_family,validation_task,validation_split,validation_row_count,validation_mae,validation_rmse,validation_r2,validation_directional_accuracy,validation_predicted_positive_rate,validation_signal_count,validation_signal_rate,validation_precision_among_signaled,validation_top_quantile_count,validation_top_quantile_avg_return_bps,validation_top_quantile_cumulative_return_bps,validation_avg_signal_return_bps,validation_median_signal_return_bps,validation_cumulative_signal_return_bps,validation_signal_hit_rate,validation_signal_return_std_bps,validation_signal_sharpe_like,validation_pearson_corr
1,24.91323550114326,19.981065211794963,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,19.981065211794963,True,lstm,deep_learning,regression,train,30090,25.41302294956687,26.293208175033318,-15.866637120920508,0.9663343303423064,0.030741110003323364,925,0.030741110003323364,0.001081081081081081,3009,-32.420085916441174,-97552.0385225715,-32.750568310886806,-33.08572626893465,-30294.275687570298,0.001081081081081081,4.7280255370723205,-6.9269017381760065,-0.012324250517588786,lstm,deep_learning,regression,validation,6576,20.48106506150888,20.647180120023144,-60.079434264828095,0.9998479318734793,0.0,0,0.0,,658,-32.399472653267445,-21318.85300584998,,,,,,,-0.11955359155994869
2,16.0901873519152,12.066718161831227,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,12.066718161831227,True,lstm,deep_learning,regression,train,30090,16.58941293903855,17.596608871079226,-6.554388285078387,0.9970089730807578,0.0,0,0.0,,3009,-31.838846023723956,-95803.08768538538,,,,,,,0.0023533181564672056,lstm,deep_learning,regression,validation,6576,12.566558682466832,12.82237454220063,-22.556481885446825,0.9998479318734793,0.0,0,0.0,,658,-32.897133125408985,-21646.31359651911,,,,,,,-0.19669391073184558
3,8.77973585721463,4.474597327610582,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,4.474597327610582,True,lstm,deep_learning,regression,train,30090,9.276179556402461,10.832415668978118,-1.8628063701484447,0.9970089730807578,0.0,0,0.0,,3009,-32.02026624599078,-96348.98113418627,,,,,,,0.0005204657736486902,lstm,deep_learning,regression,validation,6576,4.968746402447197,5.4438376413537695,-3.2460376553594985,0.9998479318734793,0.0,0,0.0,,658,-33.18647563558895,-21836.700968217527,,,,,,,-0.21619960690215662
4,3.585085602795495,1.447025918322468,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,1.447025918322468,True,lstm,deep_learning,regression,train,30090,4.0541698950403955,6.816416512773587,-0.1335836705411002,0.9970089730807578,0.0,0,0.0,,3009,-31.94487724503638,-96122.13563031447,,,,,,,0.009388938770224642,lstm,deep_learning,regression,validation,6576,1.884486382896117,2.653861712114217,-0.00909043731453818,0.9998479318734793,0.0,0,0.0,,658,-31.35640656374423,-20632.515518943703,,,,,,,0.17910252748715794
5,2.5799994130513326,0.9541671395011772,0.0,avg_signal_return_bps,,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,lstm,deep_learning,regression,train,30090,3.032888819165961,5.911680786632251,0.1473647326927482,0.9970089730807578,0.0,0,0.0,,3009,-25.588773469563712,-76996.61936991721,,,,,,,0.3888595233238704,lstm,deep_learning,regression,validation,6576,1.3693876197188817,1.9663800136850011,0.44600172084691647,0.9998479318734793,0.0,0,0.0,,658,-28.651151951521097,-18852.45798410088,,,,,,,0.6697386730782744
