model_name,model_family,task,split,status,diagnostic_reason,degenerate_experiment,row_count,mae,rmse,r2,directional_accuracy,predicted_positive_rate,signal_count,signal_rate,precision_among_signaled,top_quantile_count,top_quantile_avg_return_bps,top_quantile_cumulative_return_bps,avg_signal_return_bps,median_signal_return_bps,cumulative_signal_return_bps,signal_hit_rate,signal_return_std_bps,signal_sharpe_like,pearson_corr,selected_threshold,selected_threshold_objective,selected_threshold_objective_value,threshold_objective,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,prediction_mode,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,degenerate_stage,degenerate_reason,fallback_used,fallback_reason,has_signals
lstm,deep_learning,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.3693876197188817,1.9663800136850011,0.44600172084691647,0.9998479318734793,0.0,0,0.0,,658,-28.651151951521097,-18852.45798410088,,,,,,,0.6697386730782744,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
lstm,deep_learning,regression,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.9381479213224332,1.2389627011597866,0.3778918829325899,1.0,0.0,0,0.0,,883,-31.637694800779304,-27936.084509088127,,,,,,,0.6385845204255011,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
