strategy_name,split,suggested_direction,signal_count
transformer_direction__validation_tuned_balanced_support,train,short_perp_long_spot,9648
transformer_direction__validation_tuned_balanced_support,validation,long_perp_short_spot,911
transformer_direction__validation_tuned_balanced_support,validation,short_perp_long_spot,2377
transformer_gross__rolling_top_decile_abs,test,long_perp_short_spot,249
transformer_gross__rolling_top_decile_abs,test,short_perp_long_spot,666
transformer_gross__rolling_top_decile_abs,train,long_perp_short_spot,535
transformer_gross__rolling_top_decile_abs,train,short_perp_long_spot,2811
transformer_gross__rolling_top_decile_abs,validation,long_perp_short_spot,81
transformer_gross__rolling_top_decile_abs,validation,short_perp_long_spot,598
transformer_gross__validation_tuned_balanced_support,test,long_perp_short_spot,736
transformer_gross__validation_tuned_balanced_support,test,short_perp_long_spot,2175
transformer_gross__validation_tuned_balanced_support,train,long_perp_short_spot,2889
transformer_gross__validation_tuned_balanced_support,train,short_perp_long_spot,14433
transformer_gross__validation_tuned_balanced_support,validation,long_perp_short_spot,280
transformer_gross__validation_tuned_balanced_support,validation,short_perp_long_spot,3008
