experiment_name,run_label,model_name,model_group,task,target_column,lookback_steps,best_epoch,checkpoint_selection_metric,checkpoint_selection_metric_value,checkpoint_selection_effective_metric,checkpoint_selection_effective_metric_value,checkpoint_selection_fallback_used,status,reason,degenerate_experiment,degenerate_stage,degenerate_reason,fallback_used,fallback_reason,selected_threshold,selected_threshold_objective,selected_threshold_objective_value,selected_loss,prediction_mode,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,selected_hyperparameters_json,hidden_size,num_layers,dropout,bidirectional,tcn_hidden_channels,tcn_num_blocks,tcn_kernel_size,transformer_d_model,transformer_nhead,transformer_num_layers,transformer_dim_feedforward,training_batch_size,learning_rate,weight_decay,config_path,resolved_config_path,run_name,artifact_reused,checkpoint_path,history_path,predictions_path,metrics_path,leaderboard_path,report_path,manifest_path,validation_status,validation_diagnostic_reason,validation_degenerate_experiment,validation_row_count,validation_mae,validation_rmse,validation_r2,validation_directional_accuracy,validation_predicted_positive_rate,validation_signal_count,validation_signal_rate,validation_precision_among_signaled,validation_top_quantile_count,validation_top_quantile_avg_return_bps,validation_top_quantile_cumulative_return_bps,validation_avg_signal_return_bps,validation_median_signal_return_bps,validation_cumulative_signal_return_bps,validation_signal_hit_rate,validation_signal_return_std_bps,validation_signal_sharpe_like,validation_pearson_corr,validation_selected_threshold,validation_selected_threshold_objective,validation_selected_threshold_objective_value,validation_threshold_objective,validation_checkpoint_selection_metric,validation_best_checkpoint_metric_value,validation_checkpoint_selection_effective_metric,validation_best_checkpoint_effective_metric_value,validation_checkpoint_selection_fallback_used,validation_selected_loss,validation_prediction_mode,validation_regression_loss,validation_use_balanced_classification_loss,validation_preprocessing_scaler,validation_winsorize_lower_quantile,validation_winsorize_upper_quantile,validation_degenerate_stage,validation_degenerate_reason,validation_fallback_used,validation_fallback_reason,validation_has_signals,test_status,test_diagnostic_reason,test_degenerate_experiment,test_row_count,test_mae,test_rmse,test_r2,test_directional_accuracy,test_predicted_positive_rate,test_signal_count,test_signal_rate,test_precision_among_signaled,test_top_quantile_count,test_top_quantile_avg_return_bps,test_top_quantile_cumulative_return_bps,test_avg_signal_return_bps,test_median_signal_return_bps,test_cumulative_signal_return_bps,test_signal_hit_rate,test_signal_return_std_bps,test_signal_sharpe_like,test_pearson_corr,test_selected_threshold,test_selected_threshold_objective,test_selected_threshold_objective_value,test_threshold_objective,test_checkpoint_selection_metric,test_best_checkpoint_metric_value,test_checkpoint_selection_effective_metric,test_best_checkpoint_effective_metric_value,test_checkpoint_selection_fallback_used,test_selected_loss,test_prediction_mode,test_regression_loss,test_use_balanced_classification_loss,test_preprocessing_scaler,test_winsorize_lower_quantile,test_winsorize_upper_quantile,test_degenerate_stage,test_degenerate_reason,test_fallback_used,test_fallback_reason,test_has_signals
sequence_regression_all,lstm,lstm,recurrent,regression,target_future_net_return_bps_24h,48,5,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,warning,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,0.0,avg_signal_return_bps,,huber,static,robust,0.01,0.99,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",64,2,0.1,False,64,4,3,64,4,2,128,256,0.001,1e-05,configs/models/lstm.yaml,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\configs\models\lstm.yaml,lstm_regression_24h_default,True,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\best_model.pt,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\training_history.csv,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\dl_predictions.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\dl_metrics.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\dl_leaderboard.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\training_report.md,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\lstm_regression_24h_default\dl_manifest.json,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.3693876197188817,1.9663800136850011,0.44600172084691647,0.9998479318734793,0.0,0,0.0,,658,-28.651151951521097,-18852.45798410088,,,,,,,0.6697386730782744,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.9381479213224332,1.2389627011597866,0.3778918829325899,1.0,0.0,0,0.0,,883,-31.637694800779304,-27936.084509088127,,,,,,,0.6385845204255011,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9541671395011772,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
sequence_regression_all,gru,gru,recurrent,regression,target_future_net_return_bps_24h,48,5,validation_avg_signal_return_bps,,validation_loss,0.9972175764341424,True,warning,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,0.0,avg_signal_return_bps,,huber,static,robust,0.01,0.99,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",64,2,0.1,False,64,4,3,64,4,2,128,256,0.001,1e-05,configs/models/gru.yaml,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\configs\models\gru.yaml,gru_regression_24h_default,True,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\best_model.pt,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\training_history.csv,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\dl_predictions.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\dl_metrics.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\dl_leaderboard.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\training_report.md,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\gru_regression_24h_default\dl_manifest.json,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.4165204554834172,2.0022669597159664,0.425595974543411,0.9998479318734793,0.0,0,0.0,,658,-28.540139195589834,-18779.41159069811,,,,,,,0.6570135772595604,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9972175764341424,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,1.0342216797895956,1.3603484622479867,0.2500198937248207,1.0,0.0,0,0.0,,883,-31.718436406502068,-28007.379346941325,,,,,,,0.5703990501718472,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9972175764341424,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
sequence_regression_all,tcn,tcn,convolutional,regression,target_future_net_return_bps_24h,48,4,validation_avg_signal_return_bps,,validation_loss,1.2842296199496934,True,warning,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,0.0,avg_signal_return_bps,,huber,static,robust,0.01,0.99,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",64,2,0.1,False,64,4,3,64,4,2,128,256,0.001,1e-05,configs/models/tcn.yaml,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\configs\models\tcn.yaml,tcn_regression_24h_default,True,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\best_model.pt,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\training_history.csv,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\dl_predictions.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\dl_metrics.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\dl_leaderboard.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\training_report.md,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\tcn_regression_24h_default\dl_manifest.json,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.7135931562748932,2.3944294784391364,0.17855665764863937,0.9998479318734793,0.0,0,0.0,,658,-29.296880880797264,-19277.3476195646,,,,,,,0.4953861006047477,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,1.2842296199496934,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,1.3901685960934511,1.7715220755115064,-0.27186946442117876,1.0,0.0,0,0.0,,883,-32.1443543777748,-28383.464915575154,,,,,,,0.4744552739115342,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,1.2842296199496934,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
sequence_regression_all,transformer_encoder,transformer_encoder,attention,regression,target_future_net_return_bps_24h,48,3,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,warning,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,0.0,avg_signal_return_bps,,huber,static,robust,0.01,0.99,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",64,2,0.1,False,64,4,3,64,4,2,128,256,0.001,1e-05,configs/models/transformer.yaml,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\configs\models\transformer.yaml,transformer_regression_24h_default,True,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\best_model.pt,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\training_history.csv,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\dl_predictions.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\dl_metrics.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\dl_leaderboard.parquet,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\training_report.md,D:\MG\! CUHKSZ\~！大三 下\FTE 4312\Github\data\artifacts\models\dl\binance\btcusdt\1h\transformer_regression_24h_default\dl_manifest.json,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.3614245070099031,1.9413906627349544,0.4599930044206012,0.9998479318734793,0.0,0,0.0,,658,-28.64567808192336,-18848.85617790557,,,,,,,0.6807726292874299,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.9193601895587907,1.2086938725795275,0.40791774602801,1.0,0.0,0,0.0,,883,-31.593608802736917,-27897.156572816697,,,,,,,0.6460854810538473,0.0,avg_signal_return_bps,,avg_signal_return_bps,validation_avg_signal_return_bps,,validation_loss,0.9488472536822595,True,huber,static,huber,,robust,0.01,0.99,signal_generation,test: signal_count == 0 for split 'test'.; validation: signal_count == 0 for split 'validation'.,True,Validation split cannot support threshold selection because label diagnostics are degenerate: tradeable_rate == 0; future_net_return_bps never exceeds the trade threshold on this split.,False
