feature,importance_mean,importance_std,abs_importance_mean
spot_realized_vol_72h,69.81071875219696,1.1210793007216235,69.81071875219696
perp_realized_vol_72h,64.53884547945248,1.2290388446249922,64.53884547945248
spread_mean_168h,28.200446032393916,0.1664879450873724,28.200446032393916
spread_deviation_168h,4.246003781566951,0.0627612839960476,4.246003781566951
spread_bps,3.2704844907587236,0.07911505951181419,3.2704844907587236
spread_mean_72h,3.0302244802738016,0.06869406010112433,3.0302244802738016
spot_volume_ratio_72h,2.8032150667459246,0.06502901751810732,2.8032150667459246
spread_mean_8h,2.768520623379998,0.06997680151446153,2.768520623379998
perp_realized_vol_168h,2.204394709536159,0.054540179755588905,2.204394709536159
spot_realized_vol_168h,1.986860988832511,0.03327287491841912,1.986860988832511
spread_deviation_24h,1.8759098651227064,0.04053818315255644,1.8759098651227064
spot_volume_ratio_168h,1.4648671886168636,0.05136261738634734,1.4648671886168636
perp_volume_ratio_168h,1.328273443361372,0.03338541632372675,1.328273443361372
spread_mean_24h,1.2606000765722807,0.049043160888521384,1.2606000765722807
perp_volume_ratio_72h,1.259397806380567,0.039718197641218166,1.259397806380567
spot_abs_return_1h,1.1809717868334915,0.05141729193568894,1.1809717868334915
perp_abs_return_1h,0.743628180390847,0.029471240437411374,0.743628180390847
funding_mean_168h,0.6958278873083923,0.022647809597193057,0.6958278873083923
spot_realized_vol_8h,0.5623555965137494,0.02697887096582909,0.5623555965137494
spread_deviation_8h,0.3348130122177489,0.005741209491591205,0.3348130122177489
spread_deviation_72h,0.25967640754460836,0.0212442748411301,0.25967640754460836
spot_realized_vol_24h,0.2566474711880019,0.01830696556553616,0.2566474711880019
perp_realized_vol_8h,0.2558282535828633,0.028002552389196182,0.2558282535828633
funding_mean_24h,0.17707347052981515,0.015118468835494312,0.17707347052981515
funding_std_24h,0.17342724639949747,0.013327477758414098,0.17342724639949747
spread_zscore_72h,0.1463769474830814,0.010117401621078522,0.1463769474830814
spread_reversion_signal_72h,0.14637694746822644,0.010117401620544562,0.14637694746822644
spread_x_perp_vol_24h,0.14316967164844846,0.00962536944398873,0.14316967164844846
spread_reversion_signal_168h,0.11750431973418003,0.006945678162808214,0.11750431973418003
spread_zscore_168h,0.11750431971337445,0.006945678162223783,0.11750431971337445
spot_volume_ratio_8h,0.11128394937666623,0.011914817281794927,0.11128394937666623
spread_std_72h,0.10454595801998608,0.004797324279880278,0.10454595801998608
spread_zscore_24h,0.10100202660576603,0.005336212708242794,0.10100202660576603
spread_reversion_signal_24h,0.10100202660310131,0.005336212708157168,0.10100202660310131
perp_volume_ratio_24h,0.09841270785718433,0.006474694926751495,0.09841270785718433
spread_std_24h,-0.09511151999071484,0.004578990874295982,0.09511151999071484
funding_positive_share_168h,0.07452382216576278,0.010274492685922735,0.07452382216576278
spot_close,-0.06663324899821585,0.007200280643669867,0.06663324899821585
perp_close,-0.06642837035349469,0.007171057003089774,0.06642837035349469
funding_std_72h,0.059432289441502736,0.008794182619246568,0.059432289441502736
perp_volume,0.057756303165777824,0.0038036585883727157,0.057756303165777824
perp_volume_raw,0.057756303087375824,0.003803658583792532,0.057756303087375824
funding_positive_share_24h,0.05687693786794608,0.0037743659720410106,0.05687693786794608
spot_return_1h,0.04784935952854639,0.004811275497475149,0.04784935952854639
spread_usd,-0.04663874847400127,0.008509128582403045,0.04663874847400127
spot_dollar_volume_raw,-0.045176431914042504,0.015548690291042055,0.045176431914042504
spot_volume,0.04338587210840998,0.003392587272025251,0.04338587210840998
spot_volume_raw,0.043385872102887114,0.0033925872716355225,0.043385872102887114
perp_realized_vol_24h,0.04146194654763562,0.013387290886088985,0.04146194654763562
