threshold,objective_value,selected
0.5,-26.28024931685809,False
0.55,-26.28024931685809,False
0.6,-27.250978303283446,False
0.65,-27.250978303283446,False
0.7,-27.250978303283446,False
0.75,-26.049930426656893,True
