strategy_name,source,source_subtype,task,evaluation_split,signal_threshold,signal_threshold_mode,threshold_objective,selected_threshold_objective_value,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,trade_count,active_position_count,cumulative_return,realized_cumulative_return,annualized_return,realized_annualized_return,sharpe_ratio,simple_annualized_sharpe,raw_period_sharpe,autocorr_adjusted_sharpe,realized_sharpe_ratio,max_drawdown,realized_max_drawdown,mark_to_market_max_drawdown,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_trade_pnl_usd,expectancy_per_trade_usd,expectancy_per_trade_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,exposure_time_fraction,average_gross_leverage,max_gross_leverage,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_embedded_slippage_cost_usd,total_funding_pnl_usd,funding_contribution_share,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,realized_final_equity_usd,has_trades
logistic_regression,baseline,baseline_linear,classification,combined,0.5,constant,avg_signal_return_bps,,static,sigmoid,permutation_validation,"{""c"": 0.5, ""class_weight"": ""balanced"", ""estimator"": ""logistic_regression"", ""l1_ratio"": null, ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}",,,,,False,,,False,,,,1,1,0.00121504187251964,0.00121504187251964,0.0002308709548708432,0.0002308709548708432,0.4373211368231296,0.4373211368231296,0.004672490373596882,0.43617526045274685,0.4360093653427317,0.0,0.0,0.0,1.0,inf,121.5041872519675,121.5041872519675,121.5041872519675,121.5041872519675,121.5041872519675,1.0,1.0,0,2.1700917948829235e-05,4.3401835897658474e-06,0.2,40000.0,20.0,2.0,0.0,11.999999999999998,0.0,0.0,143.5041872519675,121.5041872519675,100121.50418725197,100121.50418725197,True
elastic_net_regression,baseline,baseline_linear,regression,combined,0.0,constant,avg_signal_return_bps,,static,none,permutation_validation,"{""alpha"": 1.0, ""estimator"": ""elastic_net"", ""l1_ratio"": 0.2, ""random_state"": 42}",,,,,False,,,False,,,,6,6,0.0020040072085882876,0.0020040072085878435,0.00038066132932401686,0.00038066132932401686,0.3020033563878892,0.3020033563878892,0.0032267083767484805,0.5190441158293545,0.5337982577748211,-0.0019358605983147426,-0.0002094413559903252,-0.0019358605983147426,0.6666666666666666,8.496974139873544,33.40012014313259,6.360310786885973,33.40012014313259,33.40012014313259,33.40012014313259,2.1666666666666665,2.0,1,0.00028211193333478005,5.6422386666956005e-05,0.2,240000.0,120.0,12.0,0.0,71.99999999999999,0.0,0.0,332.4007208587955,200.40072085879552,100200.4007208588,100200.4007208588,True
ridge_regression,baseline,baseline_linear,regression,combined,-5.0,constant,avg_signal_return_bps,,static,none,permutation_validation,"{""alpha"": 5.0, ""estimator"": ""ridge"", ""l1_ratio"": 0.5, ""random_state"": 42}",,,,,False,,,False,,,,26,26,-0.0012452142678543998,-0.001245214267854955,-0.0002368398760060897,-0.0002368398760060897,-0.1667286694724996,-0.1667286694724996,-0.0017813868059799389,-0.23779717642083792,-0.27960074520700917,-0.004345808955029451,-0.0028217775093214437,-0.004345808955029451,0.19230769230769232,0.6926058932477691,-4.789285645595954,-17.14062972751108,-4.789285645595954,-4.789285645595954,-4.789285645595954,1.5769230769230769,1.0,14,0.0008897376359019986,0.00017794752718039973,0.2,1040000.0,520.0,52.0,0.0,311.99999999999994,69.2553,0.5561717512223959,447.4785732145052,-124.52142678549481,99875.47857321451,99875.47857321451,True
combined_funding_spread,baseline,rule_based,classification,combined,0.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,49,49,-0.015484222494784983,-0.015484222494786315,-0.0029622468943926172,-0.0029622468943926172,-3.0280392539809626,-3.0280392539809626,-0.03235261933113869,-2.74332850881091,-3.0313636675378888,-0.015484222494786204,-0.015484222494786204,-0.015484222494786204,0.0,0.0,-31.60045407099219,-32.34321735016798,-31.60045407099219,-31.60045407099219,-31.60045407099219,1.0,1.0,49,0.0010633449794926325,0.0002126689958985265,0.2,1960000.0,980.0,98.0,0.0,587.9999999999999,0.0,0.0,-470.42224947861723,-1548.4222494786172,98451.57775052138,98451.57775052138,True
logistic_l1,baseline,baseline_linear,classification,combined,0.75,constant,avg_signal_return_bps,,static,none,permutation_validation,"{""c"": 0.1, ""class_weight"": ""balanced"", ""estimator"": ""logistic_l1"", ""l1_ratio"": null, ""max_iter"": 2500, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",,,,,False,,,False,,,,299,299,-0.08382056187787279,-0.0838205618778769,-0.01650457875172706,-0.01650457875172706,-5.542133545664664,-5.542133545664664,-0.059214072819397515,-4.528451716193451,-6.767705919776885,-0.08399817609454707,-0.08399817609454707,-0.08399817609454707,0.020066889632107024,0.03035258608125629,-28.03363273507588,-30.453327751365137,-28.03363273507588,-28.03363273507588,-28.03363273507588,2.321070234113712,1.0,154,0.01506043705648749,0.0030120874112974983,0.2,11960000.0,5980.0,598.0,0.0,3587.9999999999995,288.6944,0.034441954758143455,-1804.0561877876887,-8382.056187787688,91617.94381221231,91617.94381221231,True
funding_threshold_2bps,baseline,rule_based,classification,combined,3.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,209,209,-0.07087114701812036,-0.07087114701811881,-0.013876963196083891,-0.013876963196083891,-6.280566540508299,-6.280566540508299,-0.06710374649265664,-4.623438619567123,-6.2779283586155135,-0.07087115704658253,-0.07087114701811892,-0.07087115704658253,0.0,0.0,-33.90963972158802,-33.93551388017918,-33.90963972158802,-33.90963972158802,-33.90963972158802,1.0,1.0,209,0.00453549185130531,0.000907098370261062,0.2,8360000.0,4180.0,418.0,0.0,2507.9999999999995,0.0,0.0,-2489.1147018118963,-7087.114701811896,92912.8852981881,92912.8852981881,True
spread_zscore_1p5,baseline,rule_based,classification,combined,2.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,1057,1057,-0.32704527440096876,-0.3270452744009691,-0.07253102076224716,-0.07253102076224716,-13.575849766518882,-13.575849766518882,-0.14504907722562663,-11.008182688293278,-13.785901096696026,-0.3270452744009683,-0.3270452744009683,-0.3270452744009683,0.004730368968779565,0.011071160429171317,-30.94089634824677,-32.0999501380343,-30.94089634824677,-30.94089634824677,-30.94089634824677,1.3632923368022707,1.0,927,0.031271022764262926,0.006254204552852585,0.2,42280000.0,21140.0,2114.0,0.0,12683.999999999998,99.53529999999999,0.0030434715860766853,-9450.527440096837,-32704.527440096837,67295.47255990317,67295.47255990317,True
