model_name,model_family,task,split,status,diagnostic_reason,degenerate_experiment,row_count,actual_positive_count,predicted_positive_count,actual_positive_rate,predicted_positive_rate,accuracy,precision,recall,f1,signal_count,signal_rate,precision_among_signaled,top_quantile_count,top_quantile_avg_return_bps,top_quantile_cumulative_return_bps,avg_signal_return_bps,median_signal_return_bps,cumulative_signal_return_bps,signal_hit_rate,signal_return_std_bps,signal_sharpe_like,roc_auc,average_precision,brier_score,mae,rmse,r2,directional_accuracy,pearson_corr
logistic_l1,linear,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-34.063289375203894,-30077.884518305036,,,,,,,,,,,,,,
logistic_l1,linear,classification,train,ok,,False,30090,90.0,1097.0,0.0029910269192422734,0.03645729478231971,0.9664007976071785,0.08021877848678213,0.9777777777777777,0.14827295703454085,1097,0.03645729478231971,0.08021877848678213,3009,-26.834856318253212,-80746.08266162392,-22.038589026654417,-25.77197541186663,-24176.332162239894,0.08021877848678213,19.531957604438393,-1.1283348793285535,0.9944655555555555,0.4354739620731244,0.026293828699519056,,,,,
logistic_l1,linear,classification,validation,ok,,False,6576,1.0,15.0,0.00015206812652068127,0.002281021897810219,0.9975669099756691,0.0,0.0,0.0,15,0.002281021897810219,0.0,658,-31.491181589094662,-20721.19748562429,-26.28024931685809,-29.441331662489823,-394.20373975287134,0.0,6.312252234184365,-4.163371225017893,0.09292775665399244,0.00016764459346186087,0.002178980065407463,,,,,
logistic_regression,linear,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-33.248451450954974,-29358.382631193243,,,,,,,,,,,,,,
logistic_regression,linear,classification,train,ok,,False,30090,90.0,1.0,0.0029910269192422734,3.323363243602526e-05,0.9970422067131938,1.0,0.011111111111111112,0.02197802197802198,1,3.323363243602526e-05,1.0,3009,-26.617278758732834,-80091.3917850271,201.50858380537719,201.50858380537719,201.50858380537719,1.0,0.0,,0.976745925925926,0.5039430325931982,0.0027511130356175574,,,,,
logistic_regression,linear,classification,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.0,0.0,0.00015206812652068127,0.0,0.9998479318734793,0.0,0.0,0.0,0,0.0,,658,-31.512829090693348,-20735.441541676224,,,,,,,0.1884410646387833,0.00018737118231216038,0.00015227803541029787,,,,,
combined_funding_spread,rule_based,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-31.738180609905996,-28024.813478546996,,,,,,,,,,,,,,
combined_funding_spread,rule_based,classification,train,ok,,False,30090,90.0,46.0,0.0029910269192422734,0.0015287470920571618,0.9955466932535726,0.021739130434782608,0.011111111111111112,0.014705882352941176,46,0.0015287470920571618,0.021739130434782608,3009,-28.08359326489192,-84503.53213405979,-19.846372666467584,-21.634893777402688,-912.9331426575089,0.021739130434782608,9.334071484919845,-2.1262289129166674,0.7043144444444445,0.02344708393698851,,,,,,
combined_funding_spread,rule_based,classification,validation,ok,,False,6576,1.0,3.0,0.00015206812652068127,0.0004562043795620438,0.9993917274939172,0.0,0.0,0.0,3,0.0004562043795620438,0.0,658,-30.18994348584397,-19864.982813685332,-20.852416175044237,-22.475028313358532,-62.55724852513271,0.0,4.398370392671795,-4.74094137451153,1.0,1.0,,,,,,
funding_threshold_2bps,rule_based,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-33.37954110961144,-29474.134799786898,,,,,,,,,,,,,,
funding_threshold_2bps,rule_based,classification,train,ok,,False,30090,90.0,200.0,0.0029910269192422734,0.006646726487205052,0.9906281156530409,0.02,0.044444444444444446,0.027586206896551724,200,0.006646726487205052,0.02,3009,-32.30074221646662,-97192.93332934804,-23.778510890507164,-25.18573708391788,-4755.702178101433,0.02,9.11012379681237,-2.610119403517574,0.49812925925925927,0.008642935493935099,,,,,,
funding_threshold_2bps,rule_based,classification,validation,ok,,False,6576,1.0,9.0,0.00015206812652068127,0.0013686131386861315,0.9984793187347932,0.0,0.0,0.0,9,0.0013686131386861315,0.0,658,-31.883063640626276,-20979.05587553209,-26.204587340926327,-28.259721707855483,-235.84128606833696,0.0,4.4849539919426205,-5.842777292254012,0.4611406844106464,0.00015405946695424435,,,,,,
spread_zscore_1p5,rule_based,classification,test,ok,,False,8822,0.0,237.0,0.0,0.026864656540467016,0.973135343459533,0.0,0.0,0.0,237,0.026864656540467016,0.0,883,-31.76003752778069,-28044.11313703035,-30.956485758595292,-31.31612670384066,-7336.687124787084,0.0,1.9932516249637713,-15.530646191826357,,,,,,,,
spread_zscore_1p5,rule_based,classification,train,ok,,False,30090,90.0,988.0,0.0029910269192422734,0.03283482884679295,0.9653705550016617,0.018218623481781375,0.2,0.03339517625231911,988,0.03283482884679295,0.018218623481781375,3009,-28.167630014356384,-84756.39871319836,-25.949618195058797,-28.97278612644972,-25638.222776718092,0.018218623481781375,14.679792085424289,-1.7677101994397066,0.7015011111111111,0.07710844831099221,,,,,,
spread_zscore_1p5,rule_based,classification,validation,ok,,False,6576,1.0,216.0,0.00015206812652068127,0.032846715328467155,0.9673053527980535,0.004629629629629629,1.0,0.009216589861751152,216,0.032846715328467155,0.004629629629629629,658,-30.224343911570884,-19887.61829381364,-29.3300237594414,-30.052888643602582,-6335.285132039342,0.004629629629629629,4.269784774590087,-6.8692042591905995,1.0,1.0,,,,,,
elastic_net_regression,linear,regression,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,,,,0.0,,,,,0,0.0,,883,-31.522490223108534,-27834.358867004834,,,,,,,,,,0.9800337364608396,1.269334292638942,0.347017668877569,1.0,0.6772883477693387
elastic_net_regression,linear,regression,train,ok,,False,30090,,,,0.00043203722166832836,,,,,13,0.00043203722166832836,1.0,3009,-23.267027247028466,-70010.48498630866,71.73894031357557,40.10474877700406,932.6062240764824,1.0,59.12067299595662,1.2134324032218298,,,,2.349635349581215,4.668847307154045,0.4681848770850733,0.997441010302426,0.6935125201995416
