experiment,family_name,family_label,family_source_name,scenario_name,scenario_order,run_name,strategy_name,source,source_subtype,task,signal_threshold,signal_threshold_mode,threshold_objective,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,trade_count,active_position_count,cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,average_trade_return_bps,average_trade_pnl_usd,average_holding_hours,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_funding_pnl_usd,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,strategy_detail_label,name,holding_window_hours,maximum_holding_hours
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_8h,1,holding_window_sensitivity_rule_based_hold_8h,funding_threshold_2bps,rules,rule_based,classification,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,rule_based,hold_8h,8,16
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_8h,1,holding_window_sensitivity_rule_based_hold_8h,combined_funding_spread,rules,rule_based,classification,,missing,,,,,{},7,7,-0.002328156739906384,-0.0022787885407622444,-2.6180781859871143,-0.002328156739906273,0.0,-33.25938199866055,-33.25938199866055,1.0,280000.0,140.0,14.0,0.0,0.0,-78.81567399062382,-232.81567399062385,99767.18432600937,rule_based,hold_8h,8,16
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_8h,1,holding_window_sensitivity_rule_based_hold_8h,spread_zscore_1p5,rules,rule_based,classification,,missing,,,,,{},508,508,-0.16574825294174345,-0.1625325965286425,-22.9136718535847,-0.165748252941744,0.0,-32.62760884679999,-32.62760884679999,1.263779527559055,20320000.0,10160.0,1016.0,0.0,20.35830000000003,-5398.82529417439,-16574.825294174392,83425.1747058256,rule_based,hold_8h,8,16
holding_window_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,hold_8h,1,holding_window_sensitivity_baseline_ml_hold_8h,ridge_regression,baseline-ml,baseline_ml,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,baseline_ml,hold_8h,8,16
holding_window_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,hold_8h,1,holding_window_sensitivity_baseline_ml_hold_8h,logistic_regression,baseline-ml,baseline_ml,classification,,missing,,,,,{},3,3,-0.001050101232486278,-0.00102782004101043,-1.7085220457921593,-0.001050101232486389,0.0,-35.003374416209134,-35.003374416209134,1.0,120000.0,60.0,6.0,0.0,0.0,-39.01012324862738,-105.0101232486274,99894.98987675137,baseline_ml,hold_8h,8,16
holding_window_sensitivity,deep_learning,Deep Learning,dl,hold_8h,1,holding_window_sensitivity_deep_learning_hold_8h,lstm,dl,deep_learning,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,deep_learning,hold_8h,8,16
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_24h,2,holding_window_sensitivity_rule_based_hold_24h,funding_threshold_2bps,rules,rule_based,classification,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,rule_based,hold_24h,24,48
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_24h,2,holding_window_sensitivity_rule_based_hold_24h,combined_funding_spread,rules,rule_based,classification,,missing,,,,,{},7,7,-0.002328156739906384,-0.0022787885407622444,-2.6180781859871143,-0.002328156739906273,0.0,-33.25938199866055,-33.25938199866055,1.0,280000.0,140.0,14.0,0.0,0.0,-78.81567399062382,-232.81567399062385,99767.18432600937,rule_based,hold_24h,24,48
holding_window_sensitivity,rule_based,Rule-Based Baseline,rules,hold_24h,2,holding_window_sensitivity_rule_based_hold_24h,spread_zscore_1p5,rules,rule_based,classification,,missing,,,,,{},507,507,-0.16536537181730315,-0.16215640093923722,-22.89048577117828,-0.16536537181730293,0.0,-32.61644414542463,-32.61644414542463,1.2702169625246549,20280000.0,10140.0,1014.0,0.0,20.35830000000003,-5382.537181730288,-16536.537181730288,83463.4628182697,rule_based,hold_24h,24,48
holding_window_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,hold_24h,2,holding_window_sensitivity_baseline_ml_hold_24h,ridge_regression,baseline-ml,baseline_ml,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,baseline_ml,hold_24h,24,48
